anio,mes,dia,dia_semana
2019,Enero,2019-01-01,Martes
2019,Enero,2019-01-02,Miercoles
2019,Enero,2019-01-03,Jueves
2019,Enero,2019-01-04,Viernes
2019,Enero,2019-01-05,Sabado
2019,Enero,2019-01-06,Domingo
2019,Enero,2019-01-07,Lunes
2019,Enero,2019-01-08,Martes
2019,Enero,2019-01-09,Miercoles
2019,Enero,2019-01-10,Jueves
2019,Enero,2019-01-11,Viernes
2019,Enero,2019-01-12,Sabado
2019,Enero,2019-01-13,Domingo
2019,Enero,2019-01-14,Lunes
2019,Enero,2019-01-15,Martes
2019,Enero,2019-01-16,Miercoles
2019,Enero,2019-01-17,Jueves
2019,Enero,2019-01-18,Viernes
2019,Enero,2019-01-19,Sabado
2019,Enero,2019-01-20,Domingo
2019,Enero,2019-01-21,Lunes
2019,Enero,2019-01-22,Martes
2019,Enero,2019-01-23,Miercoles
2019,Enero,2019-01-24,Jueves
2019,Enero,2019-01-25,Viernes
2019,Enero,2019-01-26,Sabado
2019,Enero,2019-01-27,Domingo
2019,Enero,2019-01-28,Lunes
2019,Enero,2019-01-29,Martes
2019,Enero,2019-01-30,Miercoles
2019,Enero,2019-01-31,Jueves
2019,Febrero,2019-02-01,Viernes
2019,Febrero,2019-02-02,Sabado
2019,Febrero,2019-02-03,Domingo
2019,Febrero,2019-02-04,Lunes
2019,Febrero,2019-02-05,Martes
2019,Febrero,2019-02-06,Miercoles
2019,Febrero,2019-02-07,Jueves
2019,Febrero,2019-02-08,Viernes
2019,Febrero,2019-02-09,Sabado
2019,Febrero,2019-02-10,Domingo
2019,Febrero,2019-02-11,Lunes
2019,Febrero,2019-02-12,Martes
2019,Febrero,2019-02-13,Miercoles
2019,Febrero,2019-02-14,Jueves
2019,Febrero,2019-02-15,Viernes
2019,Febrero,2019-02-16,Sabado
2019,Febrero,2019-02-17,Domingo
2019,Febrero,2019-02-18,Lunes
2019,Febrero,2019-02-19,Martes
2019,Febrero,2019-02-20,Miercoles
2019,Febrero,2019-02-21,Jueves
2019,Febrero,2019-02-22,Viernes
2019,Febrero,2019-02-23,Sabado
2019,Febrero,2019-02-24,Domingo
2019,Febrero,2019-02-25,Lunes
2019,Febrero,2019-02-26,Martes
2019,Febrero,2019-02-27,Miercoles
2019,Febrero,2019-02-28,Jueves
2019,Marzo,2019-03-01,Viernes
2019,Marzo,2019-03-02,Sabado
2019,Marzo,2019-03-03,Domingo
2019,Marzo,2019-03-04,Lunes
2019,Marzo,2019-03-05,Martes
2019,Marzo,2019-03-06,Miercoles
2019,Marzo,2019-03-07,Jueves
2019,Marzo,2019-03-08,Viernes
2019,Marzo,2019-03-09,Sabado
2019,Marzo,2019-03-10,Domingo
2019,Marzo,2019-03-11,Lunes
2019,Marzo,2019-03-12,Martes
2019,Marzo,2019-03-13,Miercoles
2019,Marzo,2019-03-14,Jueves
2019,Marzo,2019-03-15,Viernes
2019,Marzo,2019-03-16,Sabado
2019,Marzo,2019-03-17,Domingo
2019,Marzo,2019-03-18,Lunes
2019,Marzo,2019-03-19,Martes
2019,Marzo,2019-03-20,Miercoles
2019,Marzo,2019-03-21,Jueves
2019,Marzo,2019-03-22,Viernes
2019,Marzo,2019-03-23,Sabado
2019,Marzo,2019-03-24,Domingo
2019,Marzo,2019-03-25,Lunes
2019,Marzo,2019-03-26,Martes
2019,Marzo,2019-03-27,Miercoles
2019,Marzo,2019-03-28,Jueves
2019,Marzo,2019-03-29,Viernes
2019,Marzo,2019-03-30,Sabado
2019,Marzo,2019-03-31,Domingo
2019,Abril,2019-04-01,Lunes
2019,Abril,2019-04-02,Martes
2019,Abril,2019-04-03,Miercoles
2019,Abril,2019-04-04,Jueves
2019,Abril,2019-04-05,Viernes
2019,Abril,2019-04-06,Sabado
2019,Abril,2019-04-07,Domingo
2019,Abril,2019-04-08,Lunes
2019,Abril,2019-04-09,Martes
2019,Abril,2019-04-10,Miercoles
2019,Abril,2019-04-11,Jueves
2019,Abril,2019-04-12,Viernes
2019,Abril,2019-04-13,Sabado
2019,Abril,2019-04-14,Domingo
2019,Abril,2019-04-15,Lunes
2019,Abril,2019-04-16,Martes
2019,Abril,2019-04-17,Miercoles
2019,Abril,2019-04-18,Jueves
2019,Abril,2019-04-19,Viernes
2019,Abril,2019-04-20,Sabado
2019,Abril,2019-04-21,Domingo
2019,Abril,2019-04-22,Lunes
2019,Abril,2019-04-23,Martes
2019,Abril,2019-04-24,Miercoles
2019,Abril,2019-04-25,Jueves
2019,Abril,2019-04-26,Viernes
2019,Abril,2019-04-27,Sabado
2019,Abril,2019-04-28,Domingo
2019,Abril,2019-04-29,Lunes
2019,Abril,2019-04-30,Martes
2019,Mayo,2019-05-01,Miercoles
2019,Mayo,2019-05-02,Jueves
2019,Mayo,2019-05-03,Viernes
2019,Mayo,2019-05-04,Sabado
2019,Mayo,2019-05-05,Domingo
2019,Mayo,2019-05-06,Lunes
2019,Mayo,2019-05-07,Martes
2019,Mayo,2019-05-08,Miercoles
2019,Mayo,2019-05-09,Jueves
2019,Mayo,2019-05-10,Viernes
2019,Mayo,2019-05-11,Sabado
2019,Mayo,2019-05-12,Domingo
2019,Mayo,2019-05-13,Lunes
2019,Mayo,2019-05-14,Martes
2019,Mayo,2019-05-15,Miercoles
2019,Mayo,2019-05-16,Jueves
2019,Mayo,2019-05-17,Viernes
2019,Mayo,2019-05-18,Sabado
2019,Mayo,2019-05-19,Domingo
2019,Mayo,2019-05-20,Lunes
2019,Mayo,2019-05-21,Martes
2019,Mayo,2019-05-22,Miercoles
2019,Mayo,2019-05-23,Jueves
2019,Mayo,2019-05-24,Viernes
2019,Mayo,2019-05-25,Sabado
2019,Mayo,2019-05-26,Domingo
2019,Mayo,2019-05-27,Lunes
2019,Mayo,2019-05-28,Martes
2019,Mayo,2019-05-29,Miercoles
2019,Mayo,2019-05-30,Jueves
2019,Mayo,2019-05-31,Viernes
2019,Junio,2019-06-01,Sabado
2019,Junio,2019-06-02,Domingo
2019,Junio,2019-06-03,Lunes
2019,Junio,2019-06-04,Martes
2019,Junio,2019-06-05,Miercoles
2019,Junio,2019-06-06,Jueves
2019,Junio,2019-06-07,Viernes
2019,Junio,2019-06-08,Sabado
2019,Junio,2019-06-09,Domingo
2019,Junio,2019-06-10,Lunes
2019,Junio,2019-06-11,Martes
2019,Junio,2019-06-12,Miercoles
2019,Junio,2019-06-13,Jueves
2019,Junio,2019-06-14,Viernes
2019,Junio,2019-06-15,Sabado
2019,Junio,2019-06-16,Domingo
2019,Junio,2019-06-17,Lunes
2019,Junio,2019-06-18,Martes
2019,Junio,2019-06-19,Miercoles
2019,Junio,2019-06-20,Jueves
2019,Junio,2019-06-21,Viernes
2019,Junio,2019-06-22,Sabado
2019,Junio,2019-06-23,Domingo
2019,Junio,2019-06-24,Lunes
2019,Junio,2019-06-25,Martes
2019,Junio,2019-06-26,Miercoles
2019,Junio,2019-06-27,Jueves
2019,Junio,2019-06-28,Viernes
2019,Junio,2019-06-29,Sabado
2019,Junio,2019-06-30,Domingo
2019,Julio,2019-07-01,Lunes
2019,Julio,2019-07-02,Martes
2019,Julio,2019-07-03,Miercoles
2019,Julio,2019-07-04,Jueves
2019,Julio,2019-07-05,Viernes
2019,Julio,2019-07-06,Sabado
2019,Julio,2019-07-07,Domingo
2019,Julio,2019-07-08,Lunes
2019,Julio,2019-07-09,Martes
2019,Julio,2019-07-10,Miercoles
2019,Julio,2019-07-11,Jueves
2019,Julio,2019-07-12,Viernes
2019,Julio,2019-07-13,Sabado
2019,Julio,2019-07-14,Domingo
2019,Julio,2019-07-15,Lunes
2019,Julio,2019-07-16,Martes
2019,Julio,2019-07-17,Miercoles
2019,Julio,2019-07-18,Jueves
2019,Julio,2019-07-19,Viernes
2019,Julio,2019-07-20,Sabado
2019,Julio,2019-07-21,Domingo
2019,Julio,2019-07-22,Lunes
2019,Julio,2019-07-23,Martes
2019,Julio,2019-07-24,Miercoles
2019,Julio,2019-07-25,Jueves
2019,Julio,2019-07-26,Viernes
2019,Julio,2019-07-27,Sabado
2019,Julio,2019-07-28,Domingo
2019,Julio,2019-07-29,Lunes
2019,Julio,2019-07-30,Martes
2019,Julio,2019-07-31,Miercoles
2019,Agosto,2019-08-01,Jueves
2019,Agosto,2019-08-02,Viernes
2019,Agosto,2019-08-03,Sabado
2019,Agosto,2019-08-04,Domingo
2019,Agosto,2019-08-05,Lunes
2019,Agosto,2019-08-06,Martes
2019,Agosto,2019-08-07,Miercoles
2019,Agosto,2019-08-08,Jueves
2019,Agosto,2019-08-09,Viernes
2019,Agosto,2019-08-10,Sabado
2019,Agosto,2019-08-11,Domingo
2019,Agosto,2019-08-12,Lunes
2019,Agosto,2019-08-13,Martes
2019,Agosto,2019-08-14,Miercoles
2019,Agosto,2019-08-15,Jueves
2019,Agosto,2019-08-16,Viernes
2019,Agosto,2019-08-17,Sabado
2019,Agosto,2019-08-18,Domingo
2019,Agosto,2019-08-19,Lunes
2019,Agosto,2019-08-20,Martes
2019,Agosto,2019-08-21,Miercoles
2019,Agosto,2019-08-22,Jueves
2019,Agosto,2019-08-23,Viernes
2019,Agosto,2019-08-24,Sabado
2019,Agosto,2019-08-25,Domingo
2019,Agosto,2019-08-26,Lunes
2019,Agosto,2019-08-27,Martes
2019,Agosto,2019-08-28,Miercoles
2019,Agosto,2019-08-29,Jueves
2019,Agosto,2019-08-30,Viernes
2019,Agosto,2019-08-31,Sabado
2019,Septiembre,2019-09-01,Domingo
2019,Septiembre,2019-09-02,Lunes
2019,Septiembre,2019-09-03,Martes
2019,Septiembre,2019-09-04,Miercoles
2019,Septiembre,2019-09-05,Jueves
2019,Septiembre,2019-09-06,Viernes
2019,Septiembre,2019-09-07,Sabado
2019,Septiembre,2019-09-08,Domingo
2019,Septiembre,2019-09-09,Lunes
2019,Septiembre,2019-09-10,Martes
2019,Septiembre,2019-09-11,Miercoles
2019,Septiembre,2019-09-12,Jueves
2019,Septiembre,2019-09-13,Viernes
2019,Septiembre,2019-09-14,Sabado
2019,Septiembre,2019-09-15,Domingo
2019,Septiembre,2019-09-16,Lunes
2019,Septiembre,2019-09-17,Martes
2019,Septiembre,2019-09-18,Miercoles
2019,Septiembre,2019-09-19,Jueves
2019,Septiembre,2019-09-20,Viernes
2019,Septiembre,2019-09-21,Sabado
2019,Septiembre,2019-09-22,Domingo
2019,Septiembre,2019-09-23,Lunes
2019,Septiembre,2019-09-24,Martes
2019,Septiembre,2019-09-25,Miercoles
2019,Septiembre,2019-09-26,Jueves
2019,Septiembre,2019-09-27,Viernes
2019,Septiembre,2019-09-28,Sabado
2019,Septiembre,2019-09-29,Domingo
2019,Septiembre,2019-09-30,Lunes
2019,Octubre,2019-10-01,Martes
2019,Octubre,2019-10-02,Miercoles
2019,Octubre,2019-10-03,Jueves
2019,Octubre,2019-10-04,Viernes
2019,Octubre,2019-10-05,Sabado
2019,Octubre,2019-10-06,Domingo
2019,Octubre,2019-10-07,Lunes
2019,Octubre,2019-10-08,Martes
2019,Octubre,2019-10-09,Miercoles
2019,Octubre,2019-10-10,Jueves
2019,Octubre,2019-10-11,Viernes
2019,Octubre,2019-10-12,Sabado
2019,Octubre,2019-10-13,Domingo
2019,Octubre,2019-10-14,Lunes
2019,Octubre,2019-10-15,Martes
2019,Octubre,2019-10-16,Miercoles
2019,Octubre,2019-10-17,Jueves
2019,Octubre,2019-10-18,Viernes
2019,Octubre,2019-10-19,Sabado
2019,Octubre,2019-10-20,Domingo
2019,Octubre,2019-10-21,Lunes
2019,Octubre,2019-10-22,Martes
2019,Octubre,2019-10-23,Miercoles
2019,Octubre,2019-10-24,Jueves
2019,Octubre,2019-10-25,Viernes
2019,Octubre,2019-10-26,Sabado
2019,Octubre,2019-10-27,Domingo
2019,Octubre,2019-10-28,Lunes
2019,Octubre,2019-10-29,Martes
2019,Octubre,2019-10-30,Miercoles
2019,Octubre,2019-10-31,Jueves
2019,Noviembre,2019-11-01,Viernes
2019,Noviembre,2019-11-02,Sabado
2019,Noviembre,2019-11-03,Domingo
2019,Noviembre,2019-11-04,Lunes
2019,Noviembre,2019-11-05,Martes
2019,Noviembre,2019-11-06,Miercoles
2019,Noviembre,2019-11-07,Jueves
2019,Noviembre,2019-11-08,Viernes
2019,Noviembre,2019-11-09,Sabado
2019,Noviembre,2019-11-10,Domingo
2019,Noviembre,2019-11-11,Lunes
2019,Noviembre,2019-11-12,Martes
2019,Noviembre,2019-11-13,Miercoles
2019,Noviembre,2019-11-14,Jueves
2019,Noviembre,2019-11-15,Viernes
2019,Noviembre,2019-11-16,Sabado
2019,Noviembre,2019-11-17,Domingo
2019,Noviembre,2019-11-18,Lunes
2019,Noviembre,2019-11-19,Martes
2019,Noviembre,2019-11-20,Miercoles
2019,Noviembre,2019-11-21,Jueves
2019,Noviembre,2019-11-22,Viernes
2019,Noviembre,2019-11-23,Sabado
2019,Noviembre,2019-11-24,Domingo
2019,Noviembre,2019-11-25,Lunes
2019,Noviembre,2019-11-26,Martes
2019,Noviembre,2019-11-27,Miercoles
2019,Noviembre,2019-11-28,Jueves
2019,Noviembre,2019-11-29,Viernes
2019,Noviembre,2019-11-30,Sabado
2019,Diciembre,2019-12-01,Domingo
2019,Diciembre,2019-12-02,Lunes
2019,Diciembre,2019-12-03,Martes
2019,Diciembre,2019-12-04,Miercoles
2019,Diciembre,2019-12-05,Jueves
2019,Diciembre,2019-12-06,Viernes
2019,Diciembre,2019-12-07,Sabado
2019,Diciembre,2019-12-08,Domingo
2019,Diciembre,2019-12-09,Lunes
2019,Diciembre,2019-12-10,Martes
2019,Diciembre,2019-12-11,Miercoles
2019,Diciembre,2019-12-12,Jueves
2019,Diciembre,2019-12-13,Viernes
2019,Diciembre,2019-12-14,Sabado
2019,Diciembre,2019-12-15,Domingo
2019,Diciembre,2019-12-16,Lunes
2019,Diciembre,2019-12-17,Martes
2019,Diciembre,2019-12-18,Miercoles
2019,Diciembre,2019-12-19,Jueves
2019,Diciembre,2019-12-20,Viernes
2019,Diciembre,2019-12-21,Sabado
2019,Diciembre,2019-12-22,Domingo
2019,Diciembre,2019-12-23,Lunes
2019,Diciembre,2019-12-24,Martes
2019,Diciembre,2019-12-25,Miercoles
2019,Diciembre,2019-12-26,Jueves
2019,Diciembre,2019-12-27,Viernes
2019,Diciembre,2019-12-28,Sabado
2019,Diciembre,2019-12-29,Domingo
2019,Diciembre,2019-12-30,Lunes
2019,Diciembre,2019-12-31,Martes
